Patrim.;Nº Série;Sector;Status;Modelo;ID;;;;;;;;
622.000.069;YJ01DBNL;AFTERMARKET;Use;LENOVO ThinkCentre M60e;Z20012622000069;;;;;;;;
622.000.075;YJ01DBJY;AFTERMARKET;Use;LENOVO ThinkCentre M60e;Z20012622000075;;;;;;;;
617.000.067;PC-0DXE4P;AFTERMARKET;Use;Lenovo Thinkpad T460;Z20012617000067;;;;;;;;
619.000.037;PC0NJFNL;CALIDAD;Use;LENOVO ThinkCentre V520S;Z20012619000037;;;;;;;;
619.000.042;PC0V8JD1;CALIDAD;Use;LENOVO ThinkCentre V520S;Z20012619000042;;;;;;;;
619.000.040;PC0V8JBB;CALIDAD;Use;LENOVO ThinkCentre V520S;Z20012619000040;;;;;;;;
622.000.091;YJ01DBP4;CALIDAD;Use;LENOVO ThinkCentre M60e;Z20012622000091;;;;;;;;
619.000.242;PF13F52G;CALIDAD;Use;Lenovo Thinkpad L490;Z20012619000242;;;;;;;;
615.000.051;PC00G04M;CALIDAD;Use;Lenovo Thinkpad T440P;Z20012615000051;;;;;;;;
617.000.118;PC0M1PVF;CALIDAD;Use;LENOVO ThinkCentre V520S;Z20012617000118;;;;;;;;
618.000.029;PC0RR0MC;CALIDAD;Use;LENOVO ThinkCentre V520S;Z20012618000029;;;;;;;;
618.000.031;PC0RR0N1;CALIDAD;Use;LENOVO ThinkCentre V520S;Z20012618000031;;;;;;;;
622.000.081;YJ01DBN0;CALIDAD;Use;LENOVO ThinkCentre M60e;Z20012622000081;;;;;;;;
622.000.092;YJ01DBJQ;CALIDAD;Use;LENOVO ThinkCentre M60e;Z20012622000092;;;;;;;;
622.000.095;YJ01BYGQ;CALIDAD;Use;LENOVO ThinkCentre M60e;Z20012622000095;;;;;;;;
612.000.292;MJVCDTR;CALIDAD/QP;Use;LENOVO ThinkCentre M82;Z20012612000292;;;;;;;;
613.000.043;MJ466WN;CALIDAD/QP;Use;LENOVO ThinkCentre M82;Z20012613000043;;;;;;;;
613.000.039;MJMHYCB;CAMPANA;Use;LENOVO ThinkCentre M72e ;Z20012613000039;;;;;;;;
622.000.076;YJ01DBKZ;COMERCIAL;Use;LENOVO ThinkCentre M60e;Z20012622000076;;;;;;;;
622.000.098;YJ01DBG8;COMERCIAL;Use;LENOVO ThinkCentre M60e;Z20012622000098;;;;;;;;
622.000.090;YJ01DBLT;COMERCIAL;Use;LENOVO ThinkCentre M60e;Z20012622000090;;;;;;;;
